File Name,Size,Allocated Size,Last Modification Date
\,1926103723,1966055424,2025/08/08 20:19:18
\Development\,1012763002,1036939264,2025/08/08 19:10:16
\Development\TO2\,1012763002,1036939264,2025/08/08 19:11:12
\Development\TO2\Game\,973907814,997998592,2025/08/08 19:11:11
\Development\TO2\Game\Worlds\,225799813,225853440,2025/08/08 19:11:11
\Development\TO2\Game\Worlds\RetailSinglePlayer\,148712829,148754432,2025/08/08 19:11:11
\Development\TO2\Game\Worlds\RetailSinglePlayer\C07s02.dat,28595416,28598272,2006/03/10 11:34:38
\Development\TO2\Game\Worlds\RetailSinglePlayer\c01.dat,21257221,21258240,2006/03/10 11:34:26
\Development\TO2\Game\Worlds\RetailSinglePlayer\C03s03.dat,20633735,20635648,2006/03/10 11:34:30
\Development\TO2\Game\Worlds\RetailSinglePlayer\C07s01.dat,19069736,19070976,2006/03/10 11:34:34
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_AI3.dat,18298140,18300928,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_AI.dat,10074890,10076160,2006/03/10 11:34:38
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_AI3.lta,7654526,7655424,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\C03s03.ltc,6031473,6033408,2006/03/10 11:34:30
\Development\TO2\Game\Worlds\RetailSinglePlayer\C07s01.ltc,5448065,5451776,2006/03/10 11:34:34
\Development\TO2\Game\Worlds\RetailSinglePlayer\c01.ltc,5234076,5234688,2006/03/10 11:34:28
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_Lights.dat,2287956,2289664,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\C07s02.ltc,2285293,2285568,2006/03/10 11:34:38
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_AI.ltc,1066417,1069056,2006/03/10 11:34:40
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_Lights.ltc,400955,401408,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\BoxSample.dat,128661,131072,2006/03/10 11:34:24
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_Skybox.dat,123141,126976,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\BoxSample2.dat,49770,53248,2006/03/10 11:34:24
\Development\TO2\Game\Worlds\RetailSinglePlayer\Tut_Skybox.ltc,46017,49152,2006/03/10 11:34:42
\Development\TO2\Game\Worlds\RetailSinglePlayer\BoxSample2.ltc,14632,16384,2006/03/10 11:34:24
\Development\TO2\Game\Worlds\RetailSinglePlayer\BoxSample.ltc,12709,16384,2006/03/10 11:34:24
\Development\TO2\Game\Worlds\RetailSinglePlayer\DirTypeWorlds.,0,0,2006/03/08 15:25:54
\Development\TO2\Game\Worlds\RetailMultiPlayer\,77086645,77099008,2025/08/08 19:11:11
\Development\TO2\Game\Worlds\RetailMultiPlayer\CP_c01s01.dat,24861095,24862720,2006/03/10 11:34:18
\Development\TO2\Game\Worlds\RetailMultiPlayer\CP_c01s02.dat,24403851,24403968,2006/03/10 11:34:22
\Development\TO2\Game\Worlds\RetailMultiPlayer\CP_c01s01.ltc,9168450,9170944,2006/03/10 11:34:18
